"full_name","spec_B","spec_T","spkid","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
"   433 Eros (A898 PA)",S,S,20000433,433,Eros,,Y,N,0,10.41,0.46,,,,,,16.84,34.4x11.2x11.2,0.25,5.27,4.463e-04,0.921,0.531,,,0.06,"JPL 659",2460600.5,60600,2024-10-17.0,J2000,0.2227,1.458,1.133,10.83,304.27,178.91,86.67,1.78,0.5597,2460445.66,2024-05-15.1,643,1.76,0.15,58.5,3.29,4.58,9.4e-09,1.6e-10,1.4e-08,1.2e-06,3.6e-06,4.0e-06,1.5e-06,1.9e-10,9.0e-11,2.6e-06,1.0e-07,AMO,Giorgini,46582,1893-10-29,2021-05-13,9130,4,2,0,.29796,,,,,,,,,
"   719 Albert (A911 TB)",S,,20000719,719,Albert,,Y,N,0,15.59,,,,,,,,,,5.801,,,,,,,"JPL 266",2460600.5,60600,2024-10-17.0,J2000,0.5468,2.636,1.195,11.58,183.86,156.22,148.45,4.08,0.2303,2459955.83,2023-01-11.3,1.56e+03,4.28,0.201,78.4,1.41,3.14,2.0e-08,2.5e-09,5.4e-08,2.7e-06,1.5e-05,1.5e-05,2.8e-06,3.8e-09,3.3e-10,1.2e-05,2.2e-06,AMO,"Otto Matic",41042,1911-10-04,2024-02-15,2076,,,0,.40669,,,,,,,,,
"   887 Alinda (A918 AA)",,S,20000887,887,Alinda,,Y,N,0,13.84,-0.12,,,,,,4.2,,0.31,28.41,,0.832,0.436,,,,"JPL 505",2460600.5,60600,2024-10-17.0,J2000,0.5711,2.473,1.060,9.40,110.42,350.47,340.20,3.88,0.2535,2460678.61,2025-01-03.1,1.42e+03,3.89,0.0805,31.3,1.32,3.22,7.9e-10,1.1e-09,1.9e-09,8.7e-08,3.7e-07,3.6e-07,5.2e-07,1.7e-09,1.7e-10,2.1e-06,9.5e-07,AMO,"Otto Matic",38971,1918-02-03,2024-10-15,3774,,,0,.42729,,,,,,,,,
"  1036 Ganymed (A924 UB)",S,S,20001036,1036,Ganymed,,Y,N,0,9.20,0.30,,,,,,37.675,,0.238,10.297,,0.842,0.417,,,0.40,"JPL 1267",2460600.5,60600,2024-10-17.0,J2000,0.5328,2.665,1.245,26.69,215.49,132.50,6.98,4.09,0.2265,2460569.66,2024-09-16.1,1.59e+03,4.35,0.345,134,1.95,3.04,1.2e-09,1.3e-09,3.3e-09,1.1e-07,2.3e-07,2.8e-07,7.0e-07,2.0e-09,1.6e-10,3.1e-06,1.2e-06,AMO,"Otto Matic",36517,1924-10-23,2024-10-15,11089,0,1,0,.32105,,,,,,,,,
"  1221 Amor (1932 EA1)",,,20001221,1221,Amor,,Y,N,0,17.38,,,,,,,1.0,,,,,,,,,,"JPL 122",2460600.5,60600,2024-10-17.0,J2000,0.4347,1.92,1.085,11.87,171.26,26.72,271.70,2.75,0.3704,2460838.87,2025-06-12.3,972,2.66,0.111,43.1,2.21,3.78,3.3e-08,8.9e-10,6.3e-08,4.3e-06,1.8e-05,1.9e-05,7.4e-06,1.3e-09,2.6e-10,2.0e-05,6.8e-07,AMO,"Otto Matic",33812,1932-03-12,2024-10-07,625,,,0,.45197,,,,,,,,,
"  1566 Icarus (1949 MA)",,,20001566,1566,Icarus,,Y,Y,0,16.55,,,,,,,1.0,,0.51,2.2726,,0.774,0.520,,,,"JPL 182",2460600.5,60600,2024-10-17.0,J2000,0.8270,1.078,0.187,22.80,87.95,31.43,160.86,1.97,0.8805,2460417.82,2024-04-17.3,409,1.12,0.0342,13.3,3.22,5.3,2.3e-09,1.3e-09,2.7e-09,6.0e-07,2.3e-07,3.6e-07,4.9e-06,2.4e-09,1.6e-09,5.2e-06,7.5e-07,APO,"Otto Matic",27425,1949-07-01,2024-08-01,1755,10,13,0,.37282,,,,-3.6e-15,2.9e-16,,,,
"  1580 Betulia (1950 KA)",,C,20001580,1580,Betulia,,Y,N,0,14.68,0.00,,,,,,5.8,,0.08,6.1324,,0.656,0.249,,,,"JPL 309",2460600.5,60600,2024-10-17.0,J2000,0.4876,2.195,1.125,52.19,62.23,159.73,319.03,3.27,0.3031,2460735.68,2025-03-01.1,1.19e+03,3.25,0.136,52.9,1.86,3.07,3.7e-10,3.2e-10,8.7e-10,7.1e-08,1.0e-07,1.3e-07,2.4e-07,4.8e-10,6.7e-11,8.1e-07,2.6e-07,AMO,"Otto Matic",26282,1952-10-27,2024-10-11,1784,5,6,0,.51512,,,,-3.0e-15,4.9e-16,,,,
"  1620 Geographos (1951 RA)",S,S,20001620,1620,Geographos,,Y,Y,0,15.27,,,,,,,2.56,5.0x2.0x2.1,0.290,5.22204,,0.862,0.471,,,0.15,"JPL 764",2460600.5,60600,2024-10-17.0,J2000,0.3356,1.246,0.828,13.34,337.15,277.01,289.36,1.66,0.709,2460700.14,2025-01-24.6,508,1.39,0.03,11.7,3.45,5.07,9.0e-10,2.0e-10,1.1e-09,4.1e-08,1.9e-07,2.2e-07,4.1e-07,2.6e-10,1.7e-10,5.9e-07,1.2e-07,APO,"Otto Matic",26433,1951-09-14,2024-01-27,8159,3,4,0,.29384,,,,-3.7e-15,2.4e-16,,,,
"  1627 Ivar (1929 SH)",S,S,20001627,1627,Ivar,,Y,N,0,12.83,0.60,,,,,,9.12,,0.15,4.795,,0.872,0.459,,,,"JPL 1342",2460600.5,60600,2024-10-17.0,J2000,0.3970,1.863,1.124,8.45,133.08,167.84,156.41,2.60,0.3875,2460196.84,2023-09-09.3,929,2.54,0.112,43.6,2.65,3.88,7.3e-10,2.9e-10,1.4e-09,3.4e-08,2.7e-07,3.0e-07,2.6e-07,4.0e-10,9.0e-11,6.0e-07,2.2e-07,AMO,"Otto Matic",34714,1929-09-25,2024-10-10,13369,3,1,0,.2819,,,,1.7e-15,3.7e-16,,,,
"  1685 Toro (1948 OA)",S,S,20001685,1685,Toro,,Y,N,0,14.28,,,,,,,3.4,,0.31,10.1995,,0.880,0.470,,,,"JPL 813",2460600.5,60600,2024-10-17.0,J2000,0.4361,1.368,0.771,9.38,274.21,127.27,196.26,1.96,0.616,2460866.28,2025-07-09.7,584,1.6,0.0504,19.6,3.48,4.71,7.6e-10,1.7e-10,1.0e-09,4.6e-08,1.9e-07,2.2e-07,3.4e-07,2.5e-10,1.2e-10,6.0e-07,1.1e-07,APO,"Otto Matic",27770,1948-07-17,2024-07-28,5575,7,2,0,.32377,,,,-2.3e-15,2.3e-16,,,,
